,Train,Test
0,0.079999998,0.100000001
1,0.119999997,0.140000001
2,0.219999999,0.219999999
3,0.319999993,0.25999999
4,0.340000004,0.439999998
5,0.419999987,0.479999989
6,0.400000006,0.400000006
7,0.540000021,0.439999998
8,0.660000026,0.540000021
9,0.540000021,0.720000029
10,0.779999971,0.560000002
11,0.699999988,0.600000024
12,0.660000026,0.680000007
13,0.75999999,0.74000001
14,0.839999974,0.639999986
15,0.720000029,0.720000029
16,0.860000014,0.74000001
17,0.819999993,0.75999999
18,0.819999993,0.639999986
19,0.939999998,0.74000001
20,0.980000019,0.779999971
21,0.839999974,0.699999988
22,0.899999976,0.819999993
23,0.879999995,0.75999999
24,0.920000017,0.860000014
25,0.899999976,0.75999999
26,0.899999976,0.819999993
27,0.860000014,0.860000014
28,0.839999974,0.879999995
29,0.980000019,0.819999993
30,0.939999998,0.899999976
31,0.899999976,0.800000012
32,0.860000014,0.800000012
33,0.899999976,0.779999971
34,0.939999998,0.860000014
35,0.879999995,0.839999974
36,0.879999995,0.860000014
37,0.839999974,0.839999974
38,0.899999976,0.74000001
39,0.800000012,0.879999995
40,0.980000019,0.819999993
41,0.939999998,0.779999971
42,0.920000017,0.860000014
43,0.980000019,0.879999995
44,0.879999995,0.74000001
45,0.920000017,0.819999993
46,0.899999976,0.860000014
47,0.879999995,0.779999971
48,0.899999976,0.899999976
49,0.959999979,0.860000014
