,Train,Test
0,0.150000006,0.25
1,0.25,0.150000006
2,0.275000006,0.224999994
3,0.324999988,0.125
4,0.375,0.300000012
5,0.5,0.25
6,0.425000012,0.174999997
7,0.5,0.224999994
8,0.649999976,0.300000012
9,0.75,0.425000012
10,0.574999988,0.375
11,0.699999988,0.400000006
12,0.574999988,0.5
13,0.850000024,0.425000012
14,0.774999976,0.474999994
15,0.875,0.449999988
16,0.725000024,0.474999994
17,0.800000012,0.699999988
18,0.774999976,0.550000012
19,0.824999988,0.574999988
20,0.824999988,0.75
21,0.975000024,0.574999988
22,0.699999988,0.625
23,0.875,0.699999988
24,0.899999976,0.649999976
25,0.925000012,0.875
26,0.949999988,0.675000012
27,0.899999976,0.649999976
28,0.824999988,0.699999988
29,0.975000024,0.699999988
30,0.875,0.725000024
31,0.875,0.725000024
32,0.850000024,0.774999976
33,0.925000012,0.774999976
34,0.975000024,0.625
35,0.875,0.725000024
36,0.899999976,0.675000012
37,0.949999988,0.75
38,1,0.600000024
39,0.899999976,0.725000024
40,0.774999976,0.824999988
41,0.925000012,0.699999988
42,0.899999976,0.600000024
43,0.899999976,0.725000024
44,0.800000012,0.699999988
45,0.875,0.699999988
46,0.925000012,0.774999976
47,0.899999976,0.699999988
48,0.850000024,0.699999988
49,0.875,0.649999976
