,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,train21,train22,train23,train24,train25,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25
0,0.159999996,0.119999997,0.159999996,0.200000003,0.200000003,0.200000003,0.159999996,0.140000001,0.180000007,0.119999997,0.159999996,0.180000007,0.180000007,0.180000007,0.159999996,0.239999995,0.159999996,0.059999999,0.119999997,0.159999996,0.039999999,0.119999997,0.119999997,0.100000001,0.159999996,0.100000001,0.239999995,0.560000002,0.02,0.02,0.059999999,0.180000007,0.239999995,0.059999999,0.200000003,0.25999999,0.400000006,0.219999999,0,0.140000001,0.219999999,0.02,0.079999998,0.340000004,0.140000001,0.100000001,0.159999996,0.180000007,0.059999999,0.300000012,0.02,0.280000001
1,0.140000001,0.100000001,0.200000003,0.140000001,0.140000001,0.200000003,0.239999995,0.239999995,0.280000001,0.280000001,0.200000003,0.200000003,0.200000003,0.25999999,0.159999996,0.140000001,0.180000007,0.159999996,0.119999997,0.140000001,0.200000003,0.119999997,0.25999999,0.180000007,0.159999996,0.319999993,0.200000003,0.600000024,0,0.100000001,0.119999997,0.180000007,0.200000003,0.119999997,0.059999999,0.379999995,0.419999987,0.379999995,0.059999999,0.119999997,0.180000007,0.039999999,0.059999999,0.379999995,0.239999995,0.200000003,0.119999997,0.200000003,0.039999999,0.219999999,0.079999998,0.300000012
2,0.219999999,0.159999996,0.239999995,0.360000014,0.219999999,0.300000012,0.239999995,0.25999999,0.319999993,0.319999993,0.319999993,0.360000014,0.219999999,0.379999995,0.159999996,0.200000003,0.280000001,0.219999999,0.180000007,0.159999996,0.300000012,0.239999995,0.25999999,0.200000003,0.280000001,0.239999995,0.319999993,0.74000001,0.140000001,0.100000001,0.159999996,0.079999998,0.119999997,0.180000007,0.140000001,0.219999999,0.340000004,0.419999987,0.100000001,0.100000001,0.219999999,0.100000001,0.100000001,0.419999987,0.280000001,0.180000007,0.400000006,0.379999995,0.079999998,0.379999995,0.140000001,0.340000004
3,0.219999999,0.200000003,0.300000012,0.239999995,0.239999995,0.25999999,0.360000014,0.219999999,0.140000001,0.340000004,0.280000001,0.300000012,0.360000014,0.200000003,0.300000012,0.25999999,0.239999995,0.200000003,0.119999997,0.219999999,0.219999999,0.300000012,0.280000001,0.239999995,0.239999995,0.379999995,0.300000012,0.800000012,0.280000001,0.119999997,0.140000001,0.219999999,0.25999999,0.280000001,0.140000001,0.25999999,0.319999993,0.379999995,0.180000007,0.100000001,0.400000006,0.059999999,0.059999999,0.319999993,0.340000004,0.25999999,0.340000004,0.319999993,0.200000003,0.419999987,0.159999996,0.5
4,0.25999999,0.419999987,0.319999993,0.439999998,0.379999995,0.419999987,0.340000004,0.340000004,0.439999998,0.419999987,0.300000012,0.319999993,0.439999998,0.300000012,0.439999998,0.400000006,0.239999995,0.300000012,0.239999995,0.300000012,0.180000007,0.5,0.219999999,0.5,0.360000014,0.340000004,0.400000006,0.860000014,0.300000012,0.140000001,0.140000001,0.300000012,0.159999996,0.180000007,0.280000001,0.300000012,0.379999995,0.5,0.140000001,0.119999997,0.379999995,0.140000001,0.079999998,0.360000014,0.360000014,0.340000004,0.300000012,0.419999987,0.159999996,0.400000006,0.159999996,0.519999981
5,0.319999993,0.379999995,0.439999998,0.5,0.379999995,0.419999987,0.360000014,0.360000014,0.460000008,0.600000024,0.479999989,0.5,0.5,0.400000006,0.540000021,0.379999995,0.400000006,0.219999999,0.25999999,0.319999993,0.280000001,0.419999987,0.5,0.340000004,0.360000014,0.340000004,0.300000012,0.819999993,0.239999995,0.219999999,0.300000012,0.219999999,0.180000007,0.25999999,0.319999993,0.360000014,0.300000012,0.460000008,0.239999995,0.159999996,0.439999998,0.180000007,0.119999997,0.379999995,0.400000006,0.159999996,0.479999989,0.400000006,0.280000001,0.479999989,0.379999995,0.5
6,0.340000004,0.479999989,0.419999987,0.319999993,0.479999989,0.540000021,0.460000008,0.639999986,0.5,0.540000021,0.540000021,0.439999998,0.560000002,0.479999989,0.379999995,0.300000012,0.419999987,0.360000014,0.360000014,0.439999998,0.360000014,0.319999993,0.620000005,0.360000014,0.5,0.340000004,0.379999995,0.800000012,0.460000008,0.200000003,0.360000014,0.239999995,0.439999998,0.300000012,0.280000001,0.340000004,0.519999981,0.479999989,0.140000001,0.140000001,0.519999981,0.059999999,0.219999999,0.479999989,0.419999987,0.519999981,0.519999981,0.460000008,0.579999983,0.439999998,0.379999995,0.460000008
7,0.5,0.579999983,0.560000002,0.639999986,0.579999983,0.460000008,0.419999987,0.460000008,0.280000001,0.460000008,0.479999989,0.620000005,0.540000021,0.579999983,0.460000008,0.419999987,0.579999983,0.360000014,0.319999993,0.639999986,0.400000006,0.5,0.779999971,0.519999981,0.439999998,0.560000002,0.479999989,0.959999979,0.680000007,0.180000007,0.319999993,0.319999993,0.460000008,0.219999999,0.419999987,0.400000006,0.519999981,0.560000002,0.239999995,0.25999999,0.540000021,0.159999996,0.340000004,0.419999987,0.400000006,0.400000006,0.660000026,0.519999981,0.600000024,0.5,0.460000008,0.579999983
8,0.460000008,0.699999988,0.74000001,0.579999983,0.540000021,0.460000008,0.439999998,0.660000026,0.579999983,0.519999981,0.360000014,0.519999981,0.639999986,0.579999983,0.579999983,0.5,0.639999986,0.540000021,0.540000021,0.600000024,0.360000014,0.519999981,0.819999993,0.439999998,0.639999986,0.479999989,0.540000021,0.860000014,0.74000001,0.219999999,0.579999983,0.280000001,0.419999987,0.479999989,0.400000006,0.460000008,0.400000006,0.660000026,0.300000012,0.140000001,0.5,0.219999999,0.200000003,0.479999989,0.639999986,0.519999981,0.579999983,0.479999989,0.75999999,0.560000002,0.540000021,0.75999999
9,0.5,0.519999981,0.74000001,0.540000021,0.600000024,0.560000002,0.579999983,0.639999986,0.560000002,0.620000005,0.5,0.699999988,0.579999983,0.660000026,0.699999988,0.560000002,0.639999986,0.340000004,0.379999995,0.639999986,0.460000008,0.560000002,0.779999971,0.579999983,0.660000026,0.600000024,0.680000007,0.879999995,0.839999974,0.340000004,0.540000021,0.360000014,0.600000024,0.419999987,0.600000024,0.540000021,0.519999981,0.600000024,0.25999999,0.239999995,0.660000026,0.400000006,0.219999999,0.519999981,0.560000002,0.620000005,0.74000001,0.620000005,0.860000014,0.699999988,0.720000029,0.680000007
10,0.680000007,0.439999998,0.800000012,0.660000026,0.74000001,0.560000002,0.600000024,0.600000024,0.639999986,0.620000005,0.5,0.639999986,0.600000024,0.75999999,0.680000007,0.660000026,0.680000007,0.5,0.5,0.660000026,0.600000024,0.75999999,0.839999974,0.5,0.74000001,0.699999988,0.680000007,0.899999976,0.939999998,0.360000014,0.560000002,0.319999993,0.600000024,0.560000002,0.720000029,0.5,0.419999987,0.819999993,0.400000006,0.239999995,0.540000021,0.460000008,0.319999993,0.340000004,0.639999986,0.680000007,0.839999974,0.560000002,0.720000029,0.75999999,0.680000007,0.699999988
11,0.699999988,0.560000002,0.779999971,0.74000001,0.74000001,0.600000024,0.720000029,0.660000026,0.74000001,0.680000007,0.460000008,0.839999974,0.74000001,0.720000029,0.560000002,0.620000005,0.720000029,0.660000026,0.620000005,0.639999986,0.779999971,0.819999993,0.839999974,0.639999986,0.74000001,0.74000001,0.680000007,0.899999976,0.800000012,0.400000006,0.600000024,0.319999993,0.620000005,0.540000021,0.74000001,0.5,0.479999989,0.620000005,0.360000014,0.200000003,0.800000012,0.479999989,0.419999987,0.600000024,0.639999986,0.600000024,0.860000014,0.620000005,0.839999974,0.680000007,0.680000007,0.699999988
12,0.75999999,0.560000002,0.819999993,0.600000024,0.74000001,0.699999988,0.720000029,0.600000024,0.74000001,0.74000001,0.460000008,0.680000007,0.779999971,0.800000012,0.75999999,0.699999988,0.699999988,0.74000001,0.540000021,0.720000029,0.74000001,0.779999971,0.939999998,0.639999986,0.74000001,0.620000005,0.639999986,0.959999979,0.920000017,0.319999993,0.600000024,0.379999995,0.639999986,0.579999983,0.800000012,0.639999986,0.579999983,0.74000001,0.5,0.360000014,0.779999971,0.400000006,0.439999998,0.579999983,0.74000001,0.699999988,0.899999976,0.639999986,0.819999993,0.720000029,0.74000001,0.920000017
13,0.779999971,0.660000026,0.819999993,0.75999999,0.639999986,0.779999971,0.699999988,0.540000021,0.879999995,0.660000026,0.5,0.699999988,0.660000026,0.699999988,0.660000026,0.74000001,0.839999974,0.699999988,0.680000007,0.720000029,0.839999974,0.75999999,0.839999974,0.680000007,0.800000012,0.600000024,0.779999971,0.839999974,0.839999974,0.419999987,0.74000001,0.340000004,0.74000001,0.5,0.699999988,0.5,0.479999989,0.699999988,0.519999981,0.319999993,0.75999999,0.560000002,0.379999995,0.560000002,0.660000026,0.720000029,0.920000017,0.74000001,0.860000014,0.779999971,0.779999971,0.819999993
14,0.800000012,0.600000024,0.800000012,0.639999986,0.75999999,0.75999999,0.600000024,0.540000021,0.839999974,0.680000007,0.660000026,0.699999988,0.819999993,0.75999999,0.720000029,0.74000001,0.75999999,0.680000007,0.74000001,0.839999974,0.839999974,0.860000014,0.75999999,0.720000029,0.860000014,0.75999999,0.74000001,0.920000017,0.920000017,0.519999981,0.800000012,0.479999989,0.680000007,0.579999983,0.74000001,0.519999981,0.540000021,0.74000001,0.419999987,0.460000008,0.899999976,0.660000026,0.419999987,0.5,0.75999999,0.839999974,0.959999979,0.680000007,0.839999974,0.839999974,0.74000001,0.800000012
15,0.779999971,0.720000029,0.819999993,0.800000012,0.800000012,0.879999995,0.680000007,0.660000026,0.819999993,0.75999999,0.699999988,0.74000001,0.800000012,0.680000007,0.75999999,0.720000029,0.800000012,0.75999999,0.819999993,0.819999993,0.839999974,0.779999971,0.899999976,0.75999999,0.879999995,0.74000001,0.800000012,0.980000019,0.899999976,0.660000026,0.839999974,0.360000014,0.680000007,0.699999988,0.819999993,0.5,0.579999983,0.720000029,0.540000021,0.560000002,0.860000014,0.579999983,0.5,0.600000024,0.779999971,0.879999995,0.959999979,0.680000007,0.879999995,0.74000001,0.899999976,0.860000014
