,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20
0,0.200000003,0.059999999,0.180000007,0.159999996,0.159999996,0.180000007,0.159999996,0.159999996,0.140000001,0.25999999,0.239999995,0.180000007,0.140000001,0.200000003,0.140000001,0.219999999,0.180000007,0.100000001,0.119999997,0.200000003,0.059999999,0.100000001,0.159999996,0.119999997,0.059999999,0.180000007,0.419999987,0.180000007,0.039999999,0.079999998,0.180000007,0,0.039999999,0.400000006,0.180000007,0.200000003,0.100000001,0.159999996,0.079999998,0.219999999,0.079999998,0.360000014
1,0.119999997,0.180000007,0.25999999,0.25999999,0.200000003,0.180000007,0.319999993,0.200000003,0.360000014,0.180000007,0.319999993,0.239999995,0.119999997,0.340000004,0.140000001,0.239999995,0.100000001,0.319999993,0.180000007,0.219999999,0.119999997,0.180000007,0.059999999,0.039999999,0.119999997,0.280000001,0.379999995,0.219999999,0.039999999,0.02,0.239999995,0,0.059999999,0.319999993,0.180000007,0.280000001,0.219999999,0.180000007,0.25999999,0.159999996,0.100000001,0.400000006
2,0.239999995,0.200000003,0.140000001,0.219999999,0.180000007,0.319999993,0.219999999,0.319999993,0.25999999,0.340000004,0.340000004,0.239999995,0.280000001,0.159999996,0.239999995,0.340000004,0.200000003,0.340000004,0.300000012,0.180000007,0.419999987,0.200000003,0.280000001,0.239999995,0.159999996,0.140000001,0.25999999,0.439999998,0.059999999,0.100000001,0.25999999,0.079999998,0.039999999,0.5,0.319999993,0.180000007,0.360000014,0.219999999,0.219999999,0.300000012,0.140000001,0.479999989
3,0.300000012,0.300000012,0.239999995,0.25999999,0.239999995,0.280000001,0.400000006,0.300000012,0.300000012,0.340000004,0.239999995,0.180000007,0.25999999,0.180000007,0.159999996,0.300000012,0.379999995,0.460000008,0.319999993,0.300000012,0.379999995,0.239999995,0.439999998,0.180000007,0.200000003,0.239999995,0.479999989,0.239999995,0.02,0.180000007,0.340000004,0.100000001,0.140000001,0.360000014,0.25999999,0.300000012,0.419999987,0.319999993,0.319999993,0.400000006,0.100000001,0.460000008
4,0.360000014,0.439999998,0.360000014,0.400000006,0.280000001,0.479999989,0.460000008,0.379999995,0.379999995,0.379999995,0.340000004,0.460000008,0.340000004,0.400000006,0.379999995,0.180000007,0.340000004,0.540000021,0.239999995,0.360000014,0.219999999,0.239999995,0.600000024,0.180000007,0.319999993,0.280000001,0.540000021,0.5,0.079999998,0.100000001,0.460000008,0.180000007,0.100000001,0.419999987,0.300000012,0.280000001,0.25999999,0.280000001,0.200000003,0.379999995,0.25999999,0.360000014
5,0.5,0.519999981,0.400000006,0.5,0.360000014,0.540000021,0.379999995,0.319999993,0.300000012,0.419999987,0.5,0.319999993,0.300000012,0.400000006,0.379999995,0.340000004,0.400000006,0.419999987,0.379999995,0.379999995,0.479999989,0.239999995,0.639999986,0.140000001,0.400000006,0.340000004,0.540000021,0.360000014,0.039999999,0.180000007,0.460000008,0.159999996,0.140000001,0.360000014,0.379999995,0.280000001,0.479999989,0.360000014,0.379999995,0.639999986,0.239999995,0.5
6,0.540000021,0.600000024,0.479999989,0.5,0.419999987,0.439999998,0.460000008,0.439999998,0.5,0.560000002,0.479999989,0.519999981,0.460000008,0.400000006,0.400000006,0.360000014,0.560000002,0.5,0.360000014,0.600000024,0.5,0.25999999,0.699999988,0.280000001,0.460000008,0.360000014,0.540000021,0.460000008,0.079999998,0.200000003,0.75999999,0.140000001,0.059999999,0.419999987,0.540000021,0.379999995,0.419999987,0.319999993,0.319999993,0.560000002,0.25999999,0.620000005
7,0.540000021,0.560000002,0.379999995,0.5,0.319999993,0.479999989,0.560000002,0.5,0.460000008,0.479999989,0.579999983,0.400000006,0.519999981,0.560000002,0.340000004,0.479999989,0.560000002,0.600000024,0.419999987,0.540000021,0.660000026,0.300000012,0.639999986,0.319999993,0.400000006,0.379999995,0.519999981,0.479999989,0.140000001,0.140000001,0.600000024,0.200000003,0.140000001,0.479999989,0.419999987,0.400000006,0.579999983,0.360000014,0.620000005,0.639999986,0.340000004,0.560000002
8,0.579999983,0.620000005,0.540000021,0.439999998,0.5,0.519999981,0.699999988,0.560000002,0.519999981,0.660000026,0.5,0.660000026,0.720000029,0.680000007,0.360000014,0.400000006,0.680000007,0.620000005,0.560000002,0.639999986,0.379999995,0.360000014,0.800000012,0.419999987,0.419999987,0.419999987,0.479999989,0.579999983,0.280000001,0.200000003,0.699999988,0.360000014,0.379999995,0.620000005,0.600000024,0.519999981,0.519999981,0.360000014,0.419999987,0.779999971,0.360000014,0.800000012
9,0.600000024,0.720000029,0.519999981,0.660000026,0.579999983,0.639999986,0.519999981,0.540000021,0.620000005,0.639999986,0.540000021,0.660000026,0.519999981,0.579999983,0.400000006,0.479999989,0.519999981,0.579999983,0.660000026,0.579999983,0.579999983,0.360000014,0.839999974,0.319999993,0.460000008,0.319999993,0.540000021,0.600000024,0.219999999,0.25999999,0.699999988,0.180000007,0.360000014,0.519999981,0.639999986,0.540000021,0.699999988,0.400000006,0.600000024,0.800000012,0.340000004,0.819999993
